IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
43.174.229.250,4,4,0.00,92.27,6.01
43.175.165.180,4,4,0.00,230.47,5.45
43.159.95.8,4,4,0.00,68.61,3.81
43.159.107.252,4,4,0.00,74.20,3.80
43.159.108.70,4,4,0.00,88.18,3.72
43.174.78.31,4,4,0.00,64.46,3.70
43.175.130.236,4,4,0.00,62.64,3.70
43.174.224.117,4,4,0.00,82.90,3.69
43.159.106.47,4,4,0.00,70.31,3.69
43.174.79.244,4,4,0.00,62.72,3.68
43.175.156.59,4,4,0.00,91.59,3.68
43.174.150.17,4,4,0.00,71.87,3.67
43.175.236.113,4,4,0.00,68.32,3.67
43.159.104.179,4,4,0.00,66.61,3.66
43.175.164.249,4,4,0.00,288.52,3.63
43.174.226.94,4,4,0.00,68.03,3.59
43.174.228.134,4,4,0.00,67.00,3.54
43.159.109.249,4,4,0.00,62.69,3.48
43.174.225.70,4,4,0.00,66.82,3.45
43.175.237.90,4,4,0.00,90.68,3.44
43.159.94.216,4,4,0.00,68.61,3.43
43.174.227.136,4,4,0.00,69.95,3.40
43.152.14.210,4,4,0.00,87.46,3.34
43.175.162.202,4,4,0.00,220.51,3.18
43.174.57.67,4,4,0.00,133.03,3.15
43.152.188.60,4,4,0.00,245.92,3.00
43.175.132.247,4,4,0.00,63.00,2.86
43.175.161.186,4,4,0.00,304.97,2.46
84.54.102.77,4,4,0.00,229.15,2.22
43.152.26.147,4,4,0.00,214.52,2.05
43.152.25.229,4,4,0.00,57.37,1.78
43.175.7.149,4,4,0.00,233.91,1.71
