IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.129.11,4,4,0.00,95.74,0.00
104.17.59.155,4,4,0.00,102.29,0.00
104.17.23.125,4,4,0.00,102.64,0.00
104.16.145.119,4,4,0.00,103.67,0.00
104.17.152.249,4,4,0.00,103.88,0.00
104.16.149.210,4,4,0.00,104.10,0.00
104.19.40.232,4,4,0.00,114.63,0.00
104.18.230.214,4,4,0.00,117.77,0.00
104.17.149.58,4,4,0.00,124.09,0.00
104.16.255.59,4,4,0.00,124.93,0.00
104.16.248.52,4,4,0.00,125.43,0.00
104.16.243.164,4,4,0.00,125.45,0.00
104.16.157.246,4,4,0.00,126.12,0.00
104.18.232.95,4,4,0.00,126.46,0.00
104.17.221.108,4,4,0.00,129.38,0.00
104.19.34.181,4,4,0.00,131.68,0.00
104.19.58.79,4,4,0.00,131.91,0.00
104.18.238.21,4,4,0.00,132.45,0.00
104.19.49.17,4,4,0.00,133.05,0.00
104.19.212.43,4,4,0.00,136.59,0.00
104.16.245.68,4,4,0.00,145.11,0.00
104.17.127.156,4,4,0.00,145.19,0.00
104.18.44.84,4,4,0.00,145.22,0.00
104.17.16.196,4,4,0.00,145.24,0.00
104.17.148.245,4,4,0.00,145.61,0.00
104.17.155.76,4,4,0.00,146.38,0.00
104.16.154.229,4,4,0.00,146.46,0.00
172.64.154.180,4,4,0.00,146.58,0.00
172.64.156.96,4,4,0.00,146.83,0.00
172.64.145.13,4,4,0.00,147.52,0.00
104.16.146.115,4,4,0.00,147.66,0.00
104.16.244.116,4,4,0.00,148.34,0.00
172.64.158.132,4,4,0.00,148.43,0.00
104.17.56.133,4,4,0.00,149.85,0.00
104.17.204.29,4,4,0.00,153.83,0.00
141.101.114.174,4,4,0.00,160.79,0.00
104.20.53.114,4,4,0.00,162.33,0.00
172.67.145.219,4,4,0.00,163.62,0.00
104.26.2.122,4,4,0.00,163.95,0.00
104.17.213.186,4,4,0.00,165.23,0.00
162.159.138.107,4,4,0.00,166.43,0.00
162.159.130.190,4,4,0.00,166.47,0.00
162.159.134.32,4,4,0.00,167.30,0.00
162.159.133.253,4,4,0.00,171.43,0.00
162.159.153.191,4,4,0.00,172.70,0.00
162.159.137.92,4,4,0.00,173.59,0.00
162.159.143.151,4,4,0.00,173.72,0.00
162.159.152.209,4,4,0.00,173.74,0.00
162.159.136.59,4,4,0.00,179.28,0.00
104.18.110.192,4,4,0.00,180.44,0.00
104.20.50.113,4,4,0.00,180.96,0.00
104.20.58.178,4,4,0.00,181.01,0.00
104.16.137.147,4,4,0.00,182.81,0.00
172.65.223.161,4,4,0.00,183.01,0.00
172.65.184.208,4,4,0.00,183.20,0.00
104.16.96.123,4,4,0.00,184.01,0.00
104.16.97.23,4,4,0.00,184.84,0.00
104.16.103.145,4,4,0.00,185.15,0.00
172.65.227.143,4,4,0.00,185.29,0.00
104.16.63.93,4,4,0.00,186.29,0.00
162.159.34.241,4,4,0.00,186.50,0.00
162.159.160.194,4,4,0.00,186.54,0.00
104.18.66.129,4,4,0.00,186.61,0.00
104.16.39.65,4,4,0.00,186.66,0.00
104.16.11.14,4,4,0.00,186.70,0.00
104.17.236.214,4,4,0.00,186.70,0.00
172.67.161.217,4,4,0.00,186.76,0.00
104.16.35.152,4,4,0.00,186.77,0.00
104.21.29.146,4,4,0.00,186.81,0.00
104.16.44.185,4,4,0.00,186.95,0.00
172.67.76.180,4,4,0.00,187.01,0.00
104.21.229.147,4,4,0.00,187.02,0.00
104.16.58.101,4,4,0.00,187.03,0.00
104.16.8.196,4,4,0.00,187.11,0.00
172.65.40.168,4,4,0.00,187.13,0.00
104.21.25.43,4,4,0.00,187.17,0.00
104.16.52.42,4,4,0.00,187.24,0.00
104.16.0.111,4,4,0.00,187.28,0.00
172.67.174.206,4,4,0.00,187.30,0.00
104.16.59.188,4,4,0.00,187.30,0.00
104.16.129.93,4,4,0.00,187.38,0.00
104.17.251.206,4,4,0.00,187.49,0.00
104.21.236.10,4,4,0.00,187.53,0.00
172.67.170.70,4,4,0.00,187.67,0.00
172.67.75.130,4,4,0.00,187.68,0.00
172.65.33.142,4,4,0.00,187.74,0.00
104.16.62.102,4,4,0.00,187.77,0.00
104.16.55.250,4,4,0.00,187.79,0.00
104.18.79.69,4,4,0.00,187.81,0.00
104.17.228.87,4,4,0.00,187.84,0.00
172.67.162.100,4,4,0.00,187.86,0.00
104.16.57.98,4,4,0.00,187.87,0.00
104.21.17.31,4,4,0.00,187.89,0.00
162.159.35.64,4,4,0.00,187.94,0.00
104.16.200.109,4,4,0.00,187.95,0.00
104.16.43.154,4,4,0.00,187.99,0.00
172.65.46.137,4,4,0.00,187.99,0.00
172.67.164.23,4,4,0.00,188.00,0.00
104.16.40.222,4,4,0.00,188.03,0.00
172.67.64.106,4,4,0.00,188.06,0.00
172.67.163.184,4,4,0.00,188.06,0.00
172.65.47.249,4,4,0.00,188.06,0.00
104.21.234.237,4,4,0.00,188.11,0.00
172.65.45.30,4,4,0.00,188.13,0.00
104.21.231.2,4,4,0.00,188.21,0.00
104.16.10.234,4,4,0.00,188.22,0.00
172.67.73.216,4,4,0.00,188.27,0.00
104.16.46.165,4,4,0.00,188.31,0.00
104.16.14.25,4,4,0.00,188.31,0.00
104.21.22.148,4,4,0.00,188.40,0.00
104.18.179.232,4,4,0.00,188.40,0.00
104.16.12.154,4,4,0.00,188.43,0.00
104.21.232.132,4,4,0.00,188.51,0.00
104.21.19.35,4,4,0.00,188.58,0.00
104.21.27.179,4,4,0.00,188.68,0.00
104.16.3.97,4,4,0.00,188.75,0.00
172.66.43.211,4,4,0.00,188.79,0.00
104.16.61.138,4,4,0.00,188.79,0.00
104.17.231.110,4,4,0.00,188.81,0.00
104.21.237.14,4,4,0.00,188.84,0.00
104.16.68.125,4,4,0.00,189.03,0.00
104.21.238.202,4,4,0.00,189.06,0.00
104.19.173.130,4,4,0.00,189.10,0.00
104.16.4.49,4,4,0.00,189.15,0.00
104.16.7.114,4,4,0.00,189.15,0.00
104.18.186.158,4,4,0.00,189.24,0.00
172.67.79.146,4,4,0.00,189.25,0.00
104.16.53.83,4,4,0.00,189.26,0.00
172.66.41.196,4,4,0.00,189.28,0.00
104.21.31.212,4,4,0.00,189.29,0.00
172.67.71.129,4,4,0.00,189.46,0.00
104.19.160.142,4,4,0.00,189.51,0.00
162.159.42.80,4,4,0.00,189.51,0.00
172.65.37.117,4,4,0.00,189.54,0.00
104.19.162.211,4,4,0.00,189.68,0.00
104.19.175.113,4,4,0.00,189.78,0.00
172.67.68.9,4,4,0.00,189.91,0.00
104.17.224.118,4,4,0.00,190.29,0.00
172.67.70.70,4,4,0.00,190.55,0.00
104.21.38.73,4,4,0.00,190.95,0.00
104.16.199.131,4,4,0.00,191.65,0.00
104.20.49.155,4,4,0.00,192.06,0.00
104.19.255.97,4,4,0.00,192.24,0.00
188.114.96.46,4,4,0.00,192.47,0.00
104.20.57.104,4,4,0.00,192.53,0.00
104.21.85.163,4,4,0.00,192.62,0.00
104.19.169.155,4,4,0.00,192.89,0.00
104.19.166.37,4,4,0.00,193.09,0.00
104.21.90.240,4,4,0.00,193.17,0.00
104.21.84.8,4,4,0.00,194.83,0.00
104.16.87.103,4,4,0.00,194.84,0.00
104.16.101.173,4,4,0.00,194.89,0.00
